Year,BFAR
1900,4.59
1900,3.96
1900,3.61
1900,3.44
1900,2.94
1900,2.89
1900,2.61
1900,2.55
1900,1.93
1900,1.77
1900,1.77
1900,1.76
1900,1.38
1900,1.17
1900,0.99
1901,5.35
1901,5.28
1901,4.67
1901,4.67
1901,4.66
1901,4.61
1901,4.59
1901,4.44
1901,4.39
1901,4.36
1901,4.3
1901,4.17
1901,4.12
1901,4.08
1901,4.06
1901,4
1901,3.99
1901,3.96
1901,3.96
1901,3.91
1901,3.89
1901,3.89
1901,3.89
1901,3.88
1901,3.81
1901,3.79
1901,3.67
1901,3.63
1901,3.6
1901,3.55
1901,3.53
1901,3.53
1901,3.48
1901,3.43
1901,3.42
1901,3.38
1901,3.38
1901,3.38
1901,3.38
1901,3.37
1901,3.35
1901,3.32
1901,3.27
1901,3.21
1901,3.2
1901,3.2
1901,3.2
1901,3.16
1901,3.16
1901,3.06
1901,3.06
1901,2.8
1901,2.38
1901,1.69
1901,1.5
1901,1.39
1901,1.32
1901,1.32
1901,1.03
1902,4.96
1904,4.46
1904,4.22
1905,5.02
1905,4.97
1905,4.85
1905,4.84
1905,4.82
1905,4.82
1905,4.61
1905,4.44
1905,4.36
1905,4.36
1905,4.28
1905,4.28
1905,4.18
1905,4.16
1905,4.1
1905,4.07
1905,4.07
1905,4.02
1905,4.02
1905,4.02
1905,4.02
1905,4.02
1905,4.01
1905,4.01
1905,3.98
1905,3.98
1905,3.98
1905,3.98
1905,3.88
1905,3.84
1905,3.61
1905,3.6
1905,3.6
1905,3.6
1905,3.59
1905,3.59
1905,3.58
1905,3.58
1905,3.58
1905,3.58
1905,3.57
1905,3.57
1905,3.57
1905,3.57
1905,3.57
1905,3.57
1905,3.54
1905,3.54
1905,3.54
1905,3.52
1905,3.52
1905,3.47
1905,3.44
1905,3.36
1905,3.33
1905,3.33
1905,3.32
1905,3.32
1905,3.32
1905,3.32
1905,3.31
1905,1.98
1905,0.72
1906,4.84
1906,4.23
1906,4.23
1906,4.23
1906,3.13
1906,2.44
1906,1.92
1907,4.6
1907,1.9
1908,4.67
1908,3.57
1908,3.57
1908,1.23
1909,4.7
1910,4.87
1910,4.49
1910,4.16
1910,4.16
1910,4.16
1910,4.16
1910,4.15
1910,4.1
1910,4.09
1910,4.09
1910,4.05
1910,4.05
1910,4.02
1910,3.99
1910,3.95
1910,3.95
1910,3.95
1910,3.91
1910,3.91
1910,3.89
1910,3.89
1910,3.88
1910,3.64
1910,3.57
1910,3.56
1910,3.54
1910,3.52
1910,3.52
1910,3.52
1910,3.52
1910,3.5
1910,3.45
1910,3.32
1910,3.31
1910,3.29
1910,3.29
1910,3.29
1910,3.29
1910,3.29
1910,3.29
1910,3.29
1910,3.29
1910,3.29
1910,2.96
1910,2.65
1910,1.85
1910,1.83
1910,1.61
1910,1.05
1910,0.75
1910,0.65
1911,6.91
1912,2
1914,2.81
1914,0.14
1915,4.36
1915,3.53
1915,3.29
1915,2.69
1915,2.69
1917,4.11
1918,3.05
1920,5.09
1920,4.84
1920,4.62
1920,4.62
1920,4.6
1920,4.51
1920,4.27
1920,4.27
1920,4.07
1920,3.99
1920,3.9
1920,3.88
1920,3.69
1920,3.56
1920,3.56
1920,3.53
1920,3.48
1920,3.41
1920,3.16
1920,3.01
1920,2.44
1920,2.05
1920,1.96
1920,1.76
1920,1.5
1920,0.9
1920,0.74
1920,0.53
1920,0.52
1924,6.01
1924,2
1925,6.94
1925,2.33
1925,1.98
1925,1.04
1926,6.51
1926,5.25
1926,4.88
1926,4.84
1926,4.8
1926,4.77
1926,4.75
1926,4.72
1926,4.71
1926,4.69
1926,4.64
1926,4.53
1926,4.38
1926,4.38
1926,4.35
1926,4.33
1926,4.29
1926,4.2
1926,4.16
1926,4.14
1926,4.05
1926,3.98
1926,3.97
1926,3.9
1926,3.76
1926,3.51
1926,3.45
1926,3.39
1926,3.26
1926,3.21
1926,3.05
1926,3.01
1926,2.61
1926,2.42
1926,2.32
1926,2.32
1926,2.19
1926,2.05
1926,2.03
1926,2
1926,2
1926,1.78
1926,1.62
1926,1.42
1926,1.19
1927,6
1928,12.44
1928,0.82
1930,5.93
1930,4.55
1930,2.84
1930,2.78
1930,2.74
1930,1
1930,1
1930,0.84
1930,0.4
1936,2.61
1936,1.44
1938,1.2
1939,0.02
1940,3.63
1940,2.79
1940,2.14
1940,1.96
1940,0.1
1940,0
1945,1.42
1946,1.78
1949,1.39
1950,2.6
1950,1.99
1950,1.84
1953,2.96
1953,1.92
1957,2.02
1959,2.41
1960,6.65
1962,2.69
1962,2.06
1962,1.73
1963,1.68
1965,0.19
1966,0.2
1968,1.23
1969,1.64
1970,1.9
1970,1
1970,0.48
1970,0.23
1970,0.09
1971,4.3
1975,0.74
1978,0.68
1979,2.01
1980,2.85
1985,0.27
1987,0
1988,3.45
1989,2.36
1994,8.92
1994,6.4
2002,4.95
2002,0.19
2005,5.79
2006,3.23
2007,2.67
2008,4.32
2008,4.3
2008,3.52
2015,3.61
