Year,BFAR,
1900,21.7,38.69
1900,21.08,
1900,17.04,
1900,16,
1900,15.26,
1900,15.23,
1900,15.07,
1900,13.26,
1900,12.18,
1900,11.71,
1900,11.22,
1900,11.07,
1900,10.61,
1900,10.39,
1900,10.08,
1900,9.7,
1900,9.69,
1900,9.36,
1900,9.1,
1900,8.93,
1900,8.58,
1900,8.4,
1900,7.88,
1900,7.68,
1900,7.61,
1900,7.24,
1900,6.83,
1900,6.63,
1900,6.57,
1900,6.46,
1900,6.41,
1900,6.01,
1900,6,
1900,5.99,
1900,5.82,
1900,5.76,
1900,5.72,
1900,5.71,
1900,5.45,
1900,5.35,
1900,5.34,
1900,5.25,
1900,5.24,
1900,5.14,
1900,5.09,
1900,5.02,
1900,5.01,
1900,5,
1900,5,
1900,5,
1900,5,
1900,5,
1900,5,
1900,4.99,
1900,4.94,
1900,4.9,
1900,4.9,
1900,4.87,
1900,4.79,
1900,4.78,
1900,4.73,
1900,4.72,
1900,4.65,
1900,4.63,
1900,4.63,
1900,4.62,
1900,4.57,
1900,4.54,
1900,4.53,
1900,4.52,
1900,4.47,
1900,4.42,
1900,4.36,
1900,4.36,
1900,4.31,
1900,4.3,
1900,4.17,
1900,4.12,
1900,4.11,
1900,4.07,
1900,4.05,
1900,4,
1900,4,
1900,3.98,
1900,3.92,
1900,3.88,
1900,3.87,
1900,3.85,
1900,3.79,
1900,3.7,
1900,3.66,
1900,3.65,
1900,3.63,
1900,3.62,
1900,3.61,
1900,3.58,
1900,3.57,
1900,3.56,
1900,3.56,
1900,3.54,
1900,3.43,
1900,3.37,
1900,3.36,
1900,3.36,
1900,3.33,
1900,3.33,
1900,3.22,
1900,3.22,
1900,3.21,
1900,3.11,
1900,3,
1900,2.91,
1900,2.81,
1900,2.03,
1900,2,
1900,2,
1900,1.99,
1900,1.9,
1900,1.35,
1900,1.34,
1900,1,
1900,1,
1900,1,
1900,1,
1900,1,
1900,1,
1900,0.96,
1900,0.92,
1900,0.83,
1900,0.24,
1900,0.19,
1900,0.16,
1900,0.14,
1901,13.32,
1901,4.03,
1901,3.89,
1901,3.72,
1902,18.6,
1902,18.39,
1902,15.83,
1902,10.74,
1902,7.89,
1902,3,
1903,16.38,
1903,10.6,
