Year,MN01,MN35,MN36,MN03,MN04,MN06,MN09,MN11,MN33,MN34,MN12,MN32,MN31,MN14,MN15,MN17,MN19,MN20,MN13,MN21,MN22,MN23,MN24,MN28,MN27,MN25
1900,30,16,72,120,76,15,94,300,84,413,1090,49,37,221,57,56,171,74,383,72,834,763,654,292,543,133
1901,0,16,29,73,134,59,37,94,0,30,113,66,14,20,165,18,33,84,181,48,21,150,28,12,9,4
1902,0,1,5,0,6,1,1,2,1,1,4,1,0,8,0,12,7,1,13,0,0,6,2,1,1,6
1903,0,0,0,7,2,0,1,4,0,1,3,1,1,1,1,13,1,0,18,3,0,9,3,0,2,5
1904,1,0,4,0,1,2,0,4,1,2,3,0,1,3,1,12,14,0,17,0,2,6,4,4,0,3
1905,0,9,26,37,21,63,35,4,1,4,59,11,37,10,1,9,4,2,33,2,10,110,17,3,13,2
1906,1,4,46,1,6,7,4,2,0,4,6,1,0,4,1,22,2,4,31,4,0,12,1,3,0,2
1907,0,12,39,0,7,2,9,1,0,1,11,0,0,6,0,17,3,1,21,3,1,7,6,2,0,6
1908,0,2,7,0,6,4,8,1,0,1,5,0,0,0,0,13,1,1,18,0,1,10,2,3,0,6
1909,30,10,46,158,9,1,9,180,0,38,3,0,0,0,1,17,2,0,21,5,0,4,10,1,4,4
1910,5,56,186,1091,321,51,105,541,334,341,587,344,581,242,263,136,138,281,417,246,143,541,277,161,237,12
1911,1,12,31,0,6,1,12,3,0,1,17,2,12,4,7,28,2,4,39,5,3,18,6,0,1,1
1912,3,23,31,4,7,1,13,4,0,2,16,0,0,3,4,46,9,9,19,4,2,11,15,4,5,3
1913,7,7,25,0,3,0,5,4,2,0,10,0,0,7,1,27,2,4,26,11,3,7,4,1,4,4
1914,23,25,19,4,4,2,3,4,0,2,15,2,1,1,1,21,0,1,10,3,2,3,7,1,2,1
1915,16,16,34,16,16,5,19,25,15,14,43,113,21,9,12,64,12,53,67,21,5,102,404,8,99,6
1916,8,14,22,3,6,0,3,0,0,4,15,1,2,3,0,22,4,4,2,1,0,7,1,1,0,2
1917,1,20,13,0,5,1,2,1,0,2,8,1,1,7,2,23,1,3,7,1,1,5,1,0,1,1
1918,0,2,8,0,0,1,0,1,0,2,4,1,0,5,0,8,2,1,8,1,1,2,5,1,2,1
1919,98,1,3,1,2,0,3,0,0,0,1,1,1,0,0,7,1,0,3,0,1,4,2,0,0,1
1920,2,104,145,334,330,29,106,224,136,121,288,387,105,59,381,287,80,205,380,90,301,243,353,153,226,48
1921,10,1,8,29,1,0,7,7,2,2,11,0,2,1,0,28,2,4,5,2,1,7,9,2,3,6
1922,6,28,30,6,4,0,6,3,6,3,14,3,0,4,4,26,4,2,5,0,1,6,3,1,0,3
1923,9,32,20,3,1,0,4,1,3,0,28,0,0,7,1,30,2,7,4,1,3,7,2,4,1,2
1924,110,16,24,2,8,2,5,1,6,3,18,2,4,11,6,65,9,10,5,2,0,6,5,0,2,1
1925,26,42,50,10,11,4,76,11,15,8,132,110,6,14,29,117,13,44,71,13,12,24,17,5,6,6
1926,18,19,13,75,217,45,62,5,8,3,75,5,1,21,6,60,31,12,26,2,3,24,10,0,1,5
1927,17,31,7,1,1,1,1,1,3,2,44,2,5,8,13,58,16,12,23,4,1,6,11,0,2,5
1928,5,36,8,5,8,2,2,0,2,1,13,4,7,8,11,30,26,9,20,4,4,10,8,7,1,4
1929,57,20,8,3,2,0,10,4,4,2,30,11,12,8,13,28,26,8,15,8,21,23,8,1,1,9
1930,3,32,43,31,48,9,8,17,36,33,70,65,43,22,57,121,48,42,66,41,31,90,43,12,22,14
1931,4,2,1,4,0,0,2,3,1,0,23,3,6,3,3,12,17,7,18,4,2,12,4,0,0,7
1932,0,1,1,6,1,0,2,1,0,1,2,0,4,2,3,8,3,0,5,0,1,4,1,2,0,3
1933,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,1,0,1,0,0,0,2,0,1,0
1934,4,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,5,0,0,1,1,0,0,0
1935,7,3,1,4,0,0,1,2,1,1,2,3,3,0,4,3,4,4,8,3,4,1,8,4,5,7
1936,12,3,1,4,0,2,1,0,1,2,5,0,4,1,0,1,0,3,7,2,2,3,1,1,2,1
1937,4,9,3,2,1,0,0,0,0,0,2,1,5,1,2,4,0,1,1,1,2,4,3,2,2,0
1938,9,5,1,4,1,1,0,1,2,0,2,1,4,3,3,6,4,3,15,1,1,10,3,0,0,2
